GeneSym,protein
DUSP9,1852
DUT,1854
DVL2,1856
DVL3,1857
DXO,1797
DYDC1,143241
DYDC2,84332
DYNC1I1,1780
DYNC2H1,79659
DYNLRB2,83657
DYNLT3,6990
DYRK1A,1859
DYRK1B,9149
DYRK2,8445
DYSF,8291
DZANK1,55184
DZIP1L,199221
DZIP3,9666
E2F4,1874
EAF1,85403
EAF2,55840
EAPP,55837
EARS2,124454
EBAG9,9166
EBF2,64641
EBP,10682
ECEL1,9427
ECH1,1891
ECHDC1,55862
ECHS1,1892
ECI2,10455
ECSIT,51295
EDA2R,60401
EDAR,10913
EDC4,23644
EDDM3B,64184
EDEM1,9695
EDEM2,55741
EDEM3,80267
EDN2,1907
EEA1,8411
EEF1A1,1915
EEF1A2,1917
EEF1E1,9521
EEF2,1938
EEF2K,29904
EEFSEC,60678
EEPD1,80820
EFCAB11,90141
EFCAB5,374786
EFHC1,114327
EFHD1,80303
EFHD2,79180
EFNA2,1943
EFNA3,1944
EFNA4,1945
EFNB1,1947
EFTUD1,79631
EGFLAM,133584
EGR3,1960
EHF,26298
EHMT1,79813
EHMT2,10919
EI24,9538
EID1,23741
EIF1,10209
EIF1AX,1964
EIF1AY,9086
EIF2AK2,5610
EIF2AK3,9451
EIF2B3,8891
EIF2B4,8890
EIF2B5,8893
EIF2D,1939
EIF2S3,1968
EIF3B,8662
EIF3D,8664
EIF3H,8667
EIF3L,51386
EIF4A2,1974
EIF4E,1977
EIF4E2,9470
EIF4EBP2,1979
EIF4ENIF1,56478
EIF4G1,1981
EIF4G2,1982
EIF4G3,8672
EIF5A,1984
EIF5A2,56648
ELAC2,60528
ELAVL1,1994
ELF2,1998
ELF4,2000
ELF5,2001
ELFN1,392617
ELFN2,114794
ELK4,2005
ELL,8178
ELL2,22936
ELMOD2,255520
ELMOD3,84173
ELN,2006
ELOF1,84337
ELOVL2,54898
ELOVL3,83401
ELOVL5,60481
ELP2,55250
ELP3,55140
ELP4,26610
ELP5,23587
ELTD1,64123
EMC1,23065
EMC10,284361
EMC3,55831
EMC4,51234
EMC6,83460
EMC8,10328
EMCN,51705
EMD,2010
EMG1,10436
EML2,24139
EML5,161436
EMP1,2012
EMP2,2013
EMR2,30817
EMX1,2016
EN2,2020
ENC1,8507
ENDOV,284131
ENGASE,64772
ENKD1,84080
ENKUR,219670
ENO3,2027
ENOPH1,58478
ENOX1,55068
ENPP7,339221
ENTPD3,956
ENTPD4,9583
ENTPD5,957
ENY2,56943
EP300,2033
EPAS1,2034
EPB41L3,23136
EPB41L5,57669
EPC2,26122
EPG5,57724
EPHA3,2042
EPHA4,2043
EPHA6,285220
EPHA7,2045
EPHB2,2048
EPHB4,2050
EPHB6,2051
EPHX1,2052
EPM2AIP1,9852
EPN3,55040
EPO,2056
EPOR,2057
EPPIN,57119
EPS15,2060
EPS8L1,54869
EPS8L2,64787
EPS8L3,79574
EPSTI1,94240
EPT1,85465
EPX,8288
EPYC,1833
ERAL1,26284
ERBB2,2064
ERC1,23085
ERCC2,2068
ERCC4,2072
ERF,2077
ERG,2078
ERGIC2,51290
ERI2,112479
ERI3,79033
ERICH3,127254
ERLIN2,11160
ERO1L,30001
ERP27,121506
ERP44,23071
ERVV-1,147664
ESAM,90952
ESCO1,114799
ESD,2098
ESF1,51575
ESR1,2099
ESR2,2100
ESRP2,80004
ESRRA,2101
ESRRB,2103
ESRRG,2104
ESYT1,23344
ETF1,2107
ETFA,2108
ETFB,2109
ETFDH,2110
ETNK1,55500
ETNK2,55224
ETV2,2116
ETV3,2117
ETV5,2119
ETV7,51513
EVI5L,115704
EVPL,2125
EWSR1,2130
EXD1,161829
EXD2,55218
EXO1,9156
EXOC1,55763
EXOC2,55770
EXOC3,11336
EXOC8,149371
EXOG,9941
EXOSC1,51013
EXOSC2,23404
EXOSC3,51010
EXOSC6,118460
EXOSC8,11340
EXOSC9,5393
EXTL3,2137
EYA1,2138
EZR,7430
F10,2159
F11,2160
F13A1,2162
F13B,2165
F2,2147
F5,2153
F7,2155
F8,2157
FA2H,79152
FAAH,2166
FABP2,2169
FABP3,2170
FADS1,3992
FAF2,23197
FAIM,55179
FAM107A,11170
FAM110B,90362
FAM110C,642273
FAM110D,79927
FAM117A,81558
FAM117B,150864
FAM120B,84498
FAM120C,54954
FAM122B,159090
FAM124B,79843
FAM127A,8933
FAM131B,9715
FAM134A,79137
FAM134B,54463
FAM134C,162427
FAM135A,57579
FAM13C,220965
FAM160A2,84067
FAM160B2,64760
FAM161B,145483
FAM168B,130074
FAM171B,165215
FAM172A,83989
FAM173A,65990
FAM174B,400451
FAM178A,55719
FAM178B,51252
FAM179B,23116
FAM184A,79632
FAM184B,27146
FAM188A,80013
FAM189A1,23359
FAM192A,80011
FAM193B,54540
FAM19A1,407738
FAM19A4,151647
FAM204A,63877
FAM20B,9917
FAM212A,389119
FAM213A,84293
FAM213B,127281
FAM214A,56204
FAM217A,222826
FAM220A,84792
FAM32A,26017
FAM3A,60343
FAM46B,115572
FAM50A,9130
FAM53B,9679
FAM53C,51307
FAM58A,92002
FAM63A,55793
FAM63B,54629
FAM65B,9750
FAM71D,161142
FAM73A,374986
FAM81A,145773
FAM81B,153643
FAM83A,84985
FAM83H,286077
FAM91A1,157769
FAM96A,84191
FAM96B,51647
FAM9B,171483
FAN1,22909
FARS2,10667
FARSB,10056
FASLG,356
FASN,2194
FASTKD1,79675
FASTKD5,60493
FBLN2,2199
FBN3,84467
FBP1,2203
FBRS,64319
FBXL12,54850
FBXL13,222235
FBXL18,80028
FBXL19,54620
FBXL4,26235
FBXL5,26234
FBXL8,55336
FBXO11,80204
FBXO15,201456
FBXO28,23219
FBXO31,79791
FBXO33,254170
FBXO34,55030
FBXO45,200933
FBXO46,23403
FBXO7,25793
FBXO8,26269
FBXO9,26268
FBXW11,23291
FBXW4,6468
FBXW7,55294
FBXW9,84261
FCAMR,83953
FCAR,2204
FCER1A,2205
FCER1G,2207
FCER2,2208
FCGR3B,2215
FCGRT,2217
FCHSD2,9873
FCN1,2219
FCN2,2220
FCN3,8547
FCRL2,79368
FCRL4,83417
FDPS,2224
FDXR,2232
FECH,2235
FEM1A,55527
FEM1C,56929
FERD3L,222894
FERMT2,10979
FETUB,26998
FEV,54738
FFAR2,2867
FGA,2243
FGB,2244
FGD5,152273
FGF10,2255
FGF13,2258
FGF14,2259
FGF16,8823
FGF19,9965
FGF2,2247
FGF21,26291
FGF22,27006
FGF3,2248
FGF4,2249
FGF6,2251
FGF7,2252
FGF8,2253
FGF9,2254
FGFR1,2260
FGFR1OP,11116
FGFRL1,53834
FGG,2266
FGGY,55277
FGL1,2267
FIBCD1,84929
FIBP,9158
FICD,11153
FIGN,55137
FIS1,51024
FITM1,161247
FIZ1,84922
FKBP1A,2280
FKBP2,2286
FKBP4,2288
FKBP8,23770
FKRP,79147
FLG2,388698
FLNA,2316
FLT4,2324
FLYWCH2,114984
FMN1,342184
FMNL2,114793
FNBP1,23048
FNDC5,252995
FNIP2,57600
FNTA,2339
FOLH1,2346
FOLR1,2348
FOPNL,123811
FOSB,2354
FOSL2,2355
FOXA1,3169
FOXA2,3170
FOXA3,3171
FOXC1,2296
FOXE1,2304
FOXF1,2294
FOXH1,8928
FOXI1,2299
FOXJ1,2302
FOXK1,221937
FOXL2,668
FOXO3,2309
FOXP1,27086
FOXP4,116113
FOXQ1,94234
FOXR2,139628
FOXRED1,55572
FPR2,2358
FRA10AC1,118924
FRAS1,80144
FRAT1,10023
FREM1,158326
FRMD3,257019
FRS2,10818
FSHB,2488
FSHR,2492
FSIP2,401024
FSTL3,10272
FSTL4,23105
FTL,2512
FTO,79068
FTSJ1,24140
FTSJ2,29960
FUBP1,8880
FUBP3,8939
FUNDC1,139341
FUS,2521
FUT2,2524
FUT4,2526
FUT7,2529
FUT8,2530
FXR2,9513
FXYD7,53822
FYTTD1,84248
FZD1,8321
FZD10,11211
FZD2,2535
FZD4,8322
FZD5,7855
FZD8,8325
G3BP1,10146
G3BP2,9908
G6PD,2539
GABBR1,2550
GABBR2,9568
GABPB1,2553
GABRA2,2555
GABRA3,2556
GABRA6,2559
GABRB1,2560
GABRR2,2570
GAD1,2571
GADD45A,1647
GAGE1,2543
GAK,2580
GAL,51083
GAL3ST1,9514
GAL3ST2,64090
GAL3ST4,79690
GALC,2581
GALK2,2585
GALNS,2588
GALNT1,2589
GALNT10,55568
GALNT11,63917
GALNT13,114805
GALNT2,2590
GALNT6,11226
GALNTL5,168391
GALR3,8484
GALT,2592
GAMT,2593
GAN,8139
GANAB,23193
GANC,2595
GAPDH,2597
GARNL3,84253
GARS,2617
GART,2618
GAS8,2622
GAST,2520
GATA2,2624
GATA3,2625
GATA6,2627
GATAD2A,54815
GATC,283459
GATS,352954
GBP5,115362
GC,2638
GCAT,23464
GCC2,9648
GCFC2,6936
GCG,2641
GCKR,2646
GCLM,2730
GCNT1,2650
GCNT3,9245
GCOM1,145781
GCSAM,257144
GDA,9615
GDAP2,54834
GDF9,2661
GDI1,2664
GDPD1,284161
GDPD3,79153
GEMIN5,25929
GEMIN8,54960
GET4,51608
GFER,2671
GFI1,2672
GFM1,85476
GFOD2,81577
GFPT1,2673
GFRA3,2676
GGCT,79017
GGH,8836
GGPS1,9453
GGT7,2686
GGTLC1,92086
GH1,2688
GH2,2689
GHITM,27069
GHR,2690
GHRHR,2692
GID4,79018
GID8,54994
GIF,2694
GIGYF2,26058
GIMAP1,170575
GIN1,54826
GINS2,51659
GIP,2695
GIPC2,54810
GIT1,28964
GIT2,9815
GJA4,2701
GJA5,2702
GJB1,2705
GK,2710
GK5,256356
GKAP1,80318
GKN1,56287
GKN2,200504
GLA,2717
GLB1,2720
GLB1L2,89944
GLCCI1,113263
GLCE,26035
GLG1,2734
GLI1,2735
GLO1,2739
GLOD5,392465
GLP2R,9340
GLRX2,51022
GLRX3,10539
GLS,2744
GLS2,27165
GLT8D1,55830
GLT8D2,83468
GLTP,51228
GLTSCR1,29998
GLTSCR1L,23506
GLUD1,2746
GLUD2,2747
GLYAT,10249
GLYCTK,132158
GLYR1,84656
GMDS,2762
GMEB2,26205
GMPR2,51292
GNA14,9630
GNAS,2778
GNAT2,2780
GNAT3,346562
GNB1L,54584
GNB2,2783
GNB2L1,10399
GNB5,10681
GNE,10020
GNG12,55970
GNG13,51764
GNG8,94235
GNGT1,2792
GNL1,2794
GNL3,26354
GNL3L,54552
GNLY,10578
GNMT,27232
GNN,253724
GNPAT,8443
GNPDA2,132789
GNPNAT1,64841
GNPTAB,79158
GNPTG,84572
GNRH1,2796
GOLGA1,2800
GOLGA2,2801
GOLGA4,2803
GOLGA5,9950
GOLGA7,51125
GOLIM4,27333
GOPC,57120
GORAB,92344
GORASP2,26003
GOSR1,9527
GOT1,2805
GOT1L1,137362
GOT2,2806
GP1BA,2811
GP2,2813
GP5,2814
GP6,51206
GPAA1,8733
GPALPP1,55425
GPATCH2,55105
GPATCH2L,55668
GPBP1,65056
GPC3,2719
GPC5,2262
GPD1,2819
GPD1L,23171
GPD2,2820
GPHN,10243
GPI,2821
GPIHBP1,338328
GPKOW,27238
GPM6A,2823
GPN3,51184
GPR107,57720
GPR108,56927
GPR115,221393
GPR135,64582
GPR143,4935
GPR155,151556
GPR158,57512
GPR17,2840
GPR22,2845
GPR37L1,9283
GPR50,9248
GPR52,9293
GPR61,83873
GPR63,81491
GPR64,10149
GPR98,84059
GPRC5B,51704
GPRC5C,55890
GPRIN2,9721
GPX2,2877
GPX3,2878
GPX4,2879
GRAMD4,23151
GRAP,10750
GRAP2,9402
GRASP,160622
GREB1,9687
GREM1,26585
GREM2,64388
GRHL2,79977
GRIA3,2892
GRIA4,2893
GRID1,2894
GRIK1,2897
GRIK2,2898
GRIK4,2900
GRIN2A,2903
GRIN2B,2904
GRIN3A,116443
GRIP2,80852
GRIPAP1,56850
GRK1,6011
GRM3,2913
GRM5,2915
GRM7,2917
GRM8,2918
GRPR,2925
GSC,145258
GSC2,2928
GSDMB,55876
GSE1,23199
GSG1,83445
GSK3A,2931
GSKIP,51527
GSPT1,2935
GSR,2936
GSS,2937
GSTA1,2938
GSTCD,79807
GSTM3,2947
GSTZ1,2954
GSX2,170825
GTDC1,79712
GTF2A1,2957
GTF2A2,2958
GTF2B,2959
GTF2E2,2961
GTF2F1,2962
GTF2IRD1,9569
GTF3A,2971
GTPBP1,9567
GTPBP10,85865
GTPBP3,84705
GUCA1B,2979
GUCA2A,2980
GUCD1,83606
GUCY1A2,2977
GUCY1A3,2982
GUCY2F,2986
GUF1,60558
GUK1,2987
GXYLT1,283464
GYPB,2994
GYS1,2997
GZF1,64412
GZMB,3002
GZMH,2999
GZMM,3004
H2AFJ,55766
H2BFM,286436
H3F3B,3021
H6PD,9563
HABP2,3026
HACE1,57531
HACL1,26061
HADH,3033
HADHB,3032
HAGH,3029
HAGHL,84264
HAL,3034
HAMP,57817
HAND2,9464
HAP1,9001
HAPLN1,1404
HARS,3035
HAS3,3038
HAT1,8520
HAUS7,55559
HBB,3043
HBD,3045
HBE1,3046
HBP1,26959
HBQ1,3049
HBS1L,10767
HCFC1,3054
HCFC2,29915
HCN3,57657
HCRT,3060
HCRTR1,3061
HCRTR2,3062
HDAC1,3065
HDAC11,79885
HDAC3,8841
HDAC4,9759
HDAC5,10014
HDAC8,55869
HDC,3067
HDDC3,374659
HDGFRP2,84717
HDGFRP3,50810
HDHD1,8226
HDLBP,3069
HEATR1,55127
HEATR3,55027
HEATR4,399671
HEATR5B,54497
HEATR6,63897
HEBP2,23593
HECTD1,25831
HECTD3,79654
HECTD4,283450
HECW1,23072
HECW2,57520
HEMGN,55363
HERC3,8916
HERPUD2,64224
HES1,3280
HES7,84667
HEXA,3073
HEXDC,284004
HEXIM1,10614
HEXIM2,124790
HFE,3077
HGF,3082
HHAT,55733
HHATL,57467
HHIPL2,79802
HHLA3,11147
HIBADH,11112
HIC1,3090
HIC2,23119
HID1,283987
HIF1AN,55662
HIGD1A,25994
HIGD1B,51751
HILPDA,29923
HINFP,25988
HINT2,84681
HIP1,3092
HIP1R,9026
HIPK1,204851
HIPK4,147746
HIRA,7290
HIST1H1A,3024
HIST1H1C,3006
HIST1H1D,3007
HIST1H1E,3008
HIST1H1T,3010
HIST1H2AB,8335
HIST1H2AE,3012
HIST1H2AK,8330
HIST1H2BL,8340
HIST1H2BM,8342
HIST1H2BO,8348
HIST1H3A,8350
HIST1H3G,8355
HIST1H4A,8359
HIST1H4F,8361
HIST2H2BE,8349
HIST3H3,8290
HIVEP2,3097
HJURP,55355
HK3,3101
HKDC1,80201
HKR1,284459
HLA-A,3105
HLA-DMB,3109
HLA-DQA1,3117
HLA-DQB2,3120
HLA-DRB1,3123
HLA-F,3134
HLCS,3141
HLTF,6596
HMBS,3145
HMGA1,3159
HMGA2,8091
HMGB3,3149
HMGB3P1,128872
HMGCR,3156
HMGN4,10473
HMMR,3161
HMP19,51617
HMX2,3167
HN1L,90861
HNRNPA0,10949
HNRNPA1,3178
HNRNPA2B1,3181
HNRNPAB,3182
HNRNPC,3183
HNRNPCL1,343069
HNRNPD,3184
HNRNPDL,9987
HNRNPF,3185
HNRNPH1,3187
HNRNPH3,3189
HNRNPM,4670
HNRNPU,3192
HNRNPUL2,221092
HOMER1,9456
HOMER2,9455
HOOK2,29911
HOOK3,84376
HOPX,84525
HOTAIR,100124700
HOXA10,3206
HOXA11,3207
HOXA13,3209
HOXA2,3199
HOXB13,10481
HOXB8,3218
HOXB9,3219
HOXC10,3226
HOXC11,3227
HOXC13,3229
HOXC5,3222
HOXC6,3223
HOXC8,3224
HOXC9,3225
HOXD11,3237
HP1BP3,50809
HPCAL4,51440
HPDL,84842
HPGD,3248
HPGDS,27306
HPN,3249
HPRT1,3251
HPS1,3257
HPSE,10855
HPX,3263
HRAS,3265
HRASLS5,117245
HRC,3270
HRH4,59340
HS6ST2,90161
HSBP1L1,440498
HSCB,150274
HSD11B2,3291
HSD17B1,3292
HSD17B11,51170
HSD17B3,3293
HSD17B4,3295
HSD17B8,7923
HSD3B2,3284
HSDL1,83693
HSDL2,84263
HSF1,3297
HSF5,124535
HSP90AA1,3320
HSPA12B,116835
HSPA4,3308
HSPA5,3309
HSPA8,3312
HSPB11,51668
HSPB2,3316
HSPB6,126393
HSPB7,27129
HTATSF1,27336
HTN3,3347
HTR1B,3351
HTR1E,3354
HTR1F,3355
HTR2C,3358
HTR3B,9177
HTR7,3363
HTRA2,27429
HTRA4,203100
HUNK,30811
HUS1,3364
HUWE1,10075
HYAL1,3373
HYKK,123688
HYLS1,219844
HYOU1,10525
IAH1,285148
IARS,3376
IARS2,55699
IBA57,200205
ICA1,3382
ICE2,79664
ICK,22858
ICT1,3396
ID2,3398
ID3,3399
ID4,3400
IDH1,3417
IDH2,3418
IDH3B,3420
IDI2,91734
IDO1,3620
IDS,3423
IER3,8870
IER5,51278
IFI27L2,83982
IFI30,10437
IFI35,3430
IFI6,2537
IFNA16,3449
IFNA2,3440
IFNA5,3442
IFNA8,3445
IFNAR1,3454
IFNE,338376
IFNG,3458
IFNGR1,3459
IFNK,56832
IFNL2,282616
IFRD1,3475
IFT122,55764
IFT140,9742
IFT43,112752
IFT46,56912
IFT52,51098
IFT74,80173
IFT80,57560
IGDCC4,57722
IGF1,3479
IGF1R,3480
IGF2BP1,10642
IGF2BP3,10643
IGF2R,3482
IGFALS,3483
IGFL1,374918
IGFL2,147920
IGFN1,91156
IGHM,3507
IGHMBP2,3508
IGIP,492311
IGLL1,3543
IGLV2-14,28815
IGSF11,152404
IGSF3,3321
IGSF5,150084
IGSF8,93185
IK,3550
IKBKAP,8518
IKBKB,3551
IKZF1,10320
IKZF4,64375
IKZF5,64376
IL10RA,3587
IL12RB1,3594
IL12RB2,3595
IL13RA1,3597
IL17RB,55540
IL17RC,84818
IL17RD,54756
IL17RE,132014
IL18,3606
IL18BP,10068
IL1A,3552
IL1RAP,3556
IL1RL1,9173
IL1RL2,8808
IL20,50604
IL20RA,53832
IL21R,50615
IL22RA1,58985
IL22RA2,116379
IL26,55801
IL27,246778
IL2RB,3560
IL31RA,133396
IL33,90865
IL34,146433
IL36G,56300
IL4,3565
IL4I1,259307
IL4R,3566
IL5,3567
IL6,3569
IL9,3578
ILVBL,10994
IMMP2L,83943
IMP3,55272
IMPA1,3612
IMPA2,3613
IMPACT,55364
IMPDH2,3615
IMPG1,3617
INF2,64423
ING1,3621
ING3,54556
INHBB,3625
INMT,11185
INO80C,125476
INO80E,283899
INPP1,3628
INPP4A,3631
INPP5B,3633
INPP5D,3635
INPP5K,51763
INSIG1,3638
INSIG2,51141
INSRR,3645
INTS2,57508
INTS3,65123
INTS4L1,285905
INTS5,80789
INTS9,55756
IP6K1,9807
IP6K3,117283
IPO11,51194
IPO13,9670
IPPK,64768
IQCF2,389123
IQCG,84223
IQCH,64799
IQUB,154865
IRAK1,3654
IRAK2,3656
IRAK4,51135
IREB2,3658
IRF2BP1,26145
IRF3,3661
IRF7,3665
IRF9,10379
IRS1,3667
IRS4,8471
IRX1,79192
IRX4,50805
IRX5,10265
ISCA2,122961
ISG20L2,81875
ISOC1,51015
ISOC2,79763
IST1,9798
ISX,91464
ISY1,57461
ITFG3,83986
ITGA9,3680
ITGAD,3681
ITGAE,3682
ITGAM,3684
ITGB1BP2,26548
ITGB6,3694
ITGB7,3695
ITIH2,3698
ITIH3,3699
ITIH4,3700
ITIH5,80760
ITK,3702
ITM2A,9452
ITPA,3704
ITPR2,3709
ITPRIP,85450
ITPRIPL1,150771
ITPRIPL2,162073
ITSN1,6453
IWS1,55677
IYD,389434
JAGN1,84522
JAK1,3716
JAM3,83700
JARID2,3720
JKAMP,51528
JMJD4,65094
JMJD7,100137047
JMY,133746
JRKL,8690
JTB,10899
JUN,3725
JUNB,3726
JUND,3727
KALRN,8997
KANK3,256949
KANK4,163782
KANSL1,284058
KANSL3,55683
KARS,3735
KAT5,10524
KAT6A,7994
KAT6B,23522
KAT8,84148
KATNAL1,84056
KATNAL2,83473
KATNBL1,79768
KAZN,23254
KBTBD4,55709
KCMF1,56888
KCNA2,3737
KCNA4,3739
KCNA5,3741
KCNA6,3742
KCNAB1,7881
KCNB2,9312
KCNC3,3748
KCND1,3750
KCND2,3751
KCNE1,3753
KCNE3,10008
KCNE4,23704
KCNG2,26251
KCNH3,23416
KCNH7,90134
KCNJ10,3766
KCNJ11,3767
KCNJ13,3769
KCNJ16,3773
KCNJ2,3759
KCNJ3,3760
KCNJ4,3761
KCNJ6,3763
KCNJ9,3765
KCNK15,60598
KCNK3,3777
KCNK4,50801
KCNN2,3781
KCNN3,3782
KCNQ2,3785
KCNQ3,3786
KCNRG,283518
KCNS2,3788
KCNV1,27012
KCNV2,169522
KCTD13,253980
KCTD16,57528
KCTD18,130535
KCTD2,23510
KCTD20,222658
KCTD3,51133
KCTD6,200845
KDELR1,10945
KDM1A,23028
KDM1B,221656
KDM3A,55818
KDM3B,51780
KDM4A,9682
KDM4B,23030
KDM4C,23081
KDM8,79831
KDR,3791
KEAP1,9817
KEL,3792
KERA,11081
KHDRBS1,10657
KHDRBS3,10656
KHSRP,8570
KIAA0087,9808
KIAA0226,9711
KIAA0232,9778
KIAA0319L,79932
KIAA0355,9710
KIAA0368,23392
KIAA0391,9692
KIAA0430,9665
KIAA0513,9764
KIAA0556,23247
KIAA0825,285600
KIAA0907,22889
KIAA0922,23240
KIAA0930,23313
KIAA1109,84162
KIAA1147,57189
KIAA1161,57462
KIAA1244,57221
KIAA1279,26128
KIAA1328,57536
KIAA1407,57577
KIAA1462,57608
KIAA1467,57613
KIAA1551,55196
KIAA1671,85379
KIAA1841,84542
KIAA2013,90231
KIAA2018,205717
KIAA2022,340533
KIDINS220,57498
KIF13B,23303
KIF20A,10112
KIF20B,9585
KIF21A,55605
KIF22,3835
KIF26A,26153
KIF2C,11004
KIF3B,9371
KIF5A,3798
KIF6,221458
KIF9,64147
KIFAP3,22920
KIFC2,90990
KIFC3,3801
KIR2DL1,3802
KIR2DL3,3804
KIR2DS4,3809
KIRREL3,84623
KISS1R,84634
KITLG,4254
KIZ,55857
KL,9365
KLB,152831
KLC2,64837
KLC4,89953
KLF1,10661
KLF13,51621
KLF14,136259
KLF16,83855
KLF17,128209
KLF6,1316
KLF8,11279
KLHDC1,122773
KLHDC4,54758
KLHDC7B,113730
KLHDC9,126823
KLHL10,317719
KLHL12,59349
KLHL17,339451
KLHL2,11275
KLHL20,27252
KLHL22,84861
KLHL24,54800
KLHL25,64410
KLHL34,257240
KLHL35,283212
KLHL36,79786
KLHL5,51088
KLHL6,89857
KLHL7,55975
KLK1,3816
KLK13,26085
KLK15,55554
KLK2,3817
KLK3,354
KLK4,9622
KLK7,5650
KLRB1,3820
KLRD1,3824
KMT2C,58508
KMT2E,55904
KNDC1,85442
KNOP1,400506
KPNA2,3838
KPNA5,3841
KRCC1,51315
KREMEN1,83999
KREMEN2,79412
KRIT1,889
KRT1,3848
KRT12,3859
KRT14,3861
KRT17,3872
KRT2,3849
KRT20,54474
KRT222,125113
KRT23,25984
KRT27,342574
KRT36,8689
KRT37,8688
KRT40,125115
KRT71,112802
KRT72,140807
KRT76,51350
KRT77,374454
KRT79,338785
KRT80,144501
KRT81,3887
KRT84,3890
KRT85,3891
KRTAP2-4,85294
KRTAP3-1,83896
KRTAP3-2,83897
KRTAP3-3,85293
KRTAP4-11,653240
KRTAP4-2,85291
KRTAP4-7,100132476
KRTAP5-9,3846
KRTAP8-1,337879
KRTCAP2,200185
KRTCAP3,200634
KSR1,8844
KSR2,283455
KTI12,112970
KTN1,3895
KXD1,79036
KYNU,8942
L1TD1,54596
L3MBTL1,26013
L3MBTL2,83746
LACE1,246269
LACRT,90070
LAG3,3902
LAGE3,8270
LAIR1,3903
LAIR2,3904
LALBA,3906
LAMA3,3909
LAMC3,10319
LAMP1,3916
LAMP2,3920
LAMTOR2,28956
LAMTOR3,8649
LAMTOR5,10542
LARP1B,55132
LAS1L,81887
LASP1,3927
LBP,3929
LCA5L,150082
LCAT,3931
LCE1B,353132
LCE3D,84648
LCK,3932
LCMT1,51451
LCMT2,9836
LCN1,3933
LCOR,84458
LCT,3938
LDB1,8861
LDHD,197257
LDLR,3949
LECT1,11061
LECT2,3950
LEMD2,221496
LEMD3,23592
LENG1,79165
LENG8,114823
LEO1,123169
LETMD1,25875
LGALS1,3956
LGALS12,85329
LGALS14,56891
LGALS8,3964
LGALS9,3965
LGI1,9211
LGR6,59352
LGSN,51557
LHFPL5,222662
LHX1,3975
LHX3,8022
LHX4,89884
LHX6,26468
LHX8,431707
LHX9,56956
LIG3,3980
LILRA3,11026
LILRB1,10859
LILRB2,10288
LILRB5,10990
LIMD1,8994
LIME1,54923
LIMK2,3985
LIMS1,3987
LIMS2,55679
LIN28A,79727
LIN28B,389421
LIN54,132660
LIN7A,8825
LIN7C,55327
LIN9,286826
LINC00238,440184
LINC00526,147525
LIPA,3988
LIPC,3990
LIPE,3991
LIPT1,51601
LIX1,167410
LLGL2,3993
LLPH,84298
LMAN1,3998
LMBRD1,55788
LMBRD2,92255
LMF2,91289
LMNB1,4001
LMNTD1,160492
LMO2,4005
LMO4,8543
LMTK2,22853
LMTK3,114783
LMX1A,4009
LMX1B,4010
LNX1,84708
LNX2,222484
LOC148413,148413
LOC155060,155060
LOC541472,541472
LOH12CR1,118426
LONP1,9361
LONRF1,91694
LOXHD1,125336
LOXL4,84171
LPAL2,80350
LPAR2,9170
LPAR3,23566
LPCAT1,79888
LPCAT3,10162
LPCAT4,254531
LPHN3,23284
LPIN1,23175
LPIN2,9663
LPL,4023
LPP,4026
LPPR2,64748
LRBA,987
LRCH4,4034
LRFN1,57622
LRG1,116844
LRIF1,55791
LRIG2,9860
LRIT1,26103
LRMP,4033
LRP2BP,55805
LRP5,4041
LRP5L,91355
LRP8,7804
LRRC1,55227
LRRC10B,390205
LRRC15,131578
LRRC18,474354
LRRC20,55222
LRRC23,10233
LRRC27,80313
LRRC40,55631
LRRC41,10489
LRRC46,90506
LRRC6,23639
LRRC61,65999
LRRC7,57554
LRRC75A-AS1,125144
LRRCC1,85444
LRRFIP1,9208
LRRFIP2,9209
LRRIQ3,127255
LRRK2,120892
LRRN1,57633
LRRN2,10446
LRRN4CL,221091
LRSAM1,90678
LSG1,55341
LSM1,27257
LSM11,134353
LSM14A,26065
LSM14B,149986
LSM3,27258
LSM4,25804
LSM5,23658
LSM7,51690
LSS,4047
LTA4H,4048
LTF,4057
LTN1,26046
LUC7L2,51631
LURAP1,541468
LURAP1L,286343
LUZP4,51213
LY6G5B,58496
LY6G6C,80740
LY6G6F,259215
LY6H,4062
LY86,9450
LYNX1,66004
LYPD3,27076
LYPD6B,130576
LYPLA2,11313
LYPLAL1,127018
LYRM1,57149
LYRM4,57128
LYRM7,90624
LYST,1130
LYZ,4069
LYZL4,131375
LZTR1,8216
M1AP,130951
M6PR,4074
MAATS1,89876
MAB21L1,4081
MAB21L2,10586
MAB21L3,126868
MACF1,23499
MACROD1,28992
MACROD2,140733
MAF1,84232
MAFK,7975
MAG,4099
MAGEA11,4110
MAGEB6,158809
MAGEH1,28986
MAGEL2,54551
MAGI1,9223
MAGOHB,55110
MAK16,84549
MAL,4118
MALT1,10892
MAML1,9794
MAML3,55534
MAMSTR,284358
MAN1A2,10905
MAN2A1,4124
MAN2B1,4125
MAN2B2,23324
MANEA,79694
MAP1LC3B,81631
MAP1S,55201
MAP2K1,5604
MAP2K2,5605
MAP2K5,5607
MAP2K6,5608
MAP2K7,5609
MAP3K12,7786
MAP3K13,9175
MAP3K14,9020
MAP3K2,10746
MAP3K4,4216
MAP3K9,4293
MAP4,4134
MAP7D1,55700
MAP9,79884
MAPK14,1432
MAPK1IP1L,93487
MAPK3,5595
